Complaint Year,Month,Patrol Borough Name,County,Offense Description,Bias Motive Description,Offense Category,General Offense Description
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,8,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-TRANSGENDER,Gender,FELONY ASSAULT
2021,9,PATROL BORO QUEENS NORTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MUSLIM,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2021,3,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2021,3,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,3,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,3,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,3,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,5,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-CATHOLIC,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,6,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
